idx,file,T,image_key,image_shape,qpos_key,qpos_shape,qpos_dim,action_key,action_shape,action_dim,num_datasets,status
0,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_0.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
1,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_1.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
2,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_10.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
3,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_11.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
4,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_12.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
5,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_13.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
6,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_14.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
7,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_15.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
8,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_16.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
9,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_17.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
